SNO,INSTCODE,NAME OF THE INSTITUTION,DIST,PLACE,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLFEE
427,LIMT,"LINGAYAS INST OF MGMT AND
TECHNOLOGY",KRI,VIJAYAWADA,ECE,106572,106572,147982,147982,149648,149648,145076,150623,148899,148899,106572,106572,142718,146265,127282,129397,145829,144176,43000
428,MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",KRI,"KANCHIKACHERL
A",AID,57993,57993,125632,125632,123812,143774,93352,109775,95144,100478,79960,79960,71350,87664,95642,95642,70321,68509,43000
429,MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",KRI,"KANCHIKACHERL
A",AIM,61095,69774,138984,138984,137468,138367,115392,115392,104565,108394,61095,89384,77676,82824,108181,126903,72148,71898,43000
430,MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",KRI,"KANCHIKACHERL
A",CSE,38118,38118,88712,129179,123202,123202,67885,82299,74150,74150,49580,49580,56225,56225,76839,76839,43688,45136,43000
431,MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",KRI,"KANCHIKACHERL
A",ECE,67951,67951,138893,140270,148749,148749,103694,132374,122145,122145,88587,88587,91571,99734,115605,115605,86402,89186,43000
432,MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",KRI,"KANCHIKACHERL
A",EEE,88931,113819,118613,149459,118652,118652,146741,146741,139209,139209,88931,113819,125418,129901,151201,151201,137493,,43000
433,MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",KRI,"KANCHIKACHERL
A",INF,59378,59378,135746,135746,137855,144941,92969,104927,101167,101167,75532,75532,82271,83341,101758,106862,75171,77688,43000
434,MICT,"DVR AND DR.HS MIC COLLEGE OF
TECHNOLOGY",KRI,"KANCHIKACHERL
A",MEC,137747,137747,137747,137747,137747,137747,137747,137747,137747,137747,137747,137747,137747,137747,137747,137747,133852,,43000
435,MIET,"MANDAVA INSTITUTE OF ENGG AND
TECHNOLOGY",KRI,JAGGAIAHPETA,CIV,151745,151745,151745,151745,151745,151745,151745,151745,151745,151745,151745,151745,151745,151745,151745,151745,,,43000
436,MIET,"MANDAVA INSTITUTE OF ENGG AND
TECHNOLOGY",KRI,JAGGAIAHPETA,CSE,75513,75513,125934,151759,75513,148303,132758,146586,144782,144782,75513,75513,151313,151313,75513,75513,132365,,43000
437,MIET,"MANDAVA INSTITUTE OF ENGG AND
TECHNOLOGY",KRI,JAGGAIAHPETA,CSM,136141,136141,136141,136141,136141,136141,136141,136141,136141,136141,136141,136141,136141,136141,136141,136141,,,43000
438,MIET,"MANDAVA INSTITUTE OF ENGG AND
TECHNOLOGY",KRI,JAGGAIAHPETA,ECE,113575,113575,149593,149593,117330,139082,113575,113575,113575,113575,113575,113575,126856,126856,113575,113575,,,43000
439,MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",KRI,PARITALA,AID,84665,84665,151713,151713,149986,149986,136825,150334,133801,146236,84665,114214,108416,147464,114451,114451,119560,135549,43000
440,MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",KRI,PARITALA,CAI,97395,97395,147762,147762,134906,147585,114668,125082,149307,149307,119398,119398,131956,134100,138365,149441,114556,124788,43000
441,MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",KRI,PARITALA,CIV,110264,110264,151509,151509,145875,145875,148203,148203,112535,145663,110264,110264,142652,145991,110264,110264,,,43000
442,MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",KRI,PARITALA,CSE,79808,80889,151490,151490,138957,151756,131959,131959,136291,142586,87035,87035,125992,134610,142210,147157,109050,113366,43000
443,MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",KRI,PARITALA,ECE,94867,150122,151652,151672,140072,150122,124132,150122,147915,150122,94867,150122,136598,150824,149379,150122,126429,129554,43000
444,MVRS,"M.V.R.COLL OF ENGINEERING AND
TECHNOLOGY",KRI,PARITALA,MEC,148192,150236,148192,150236,148192,150236,148192,150236,148192,150236,148192,150236,148192,150236,148192,150236,,,43000
445,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,AIM,54694,54694,142785,146616,138464,140245,86138,86138,101276,101276,54694,110640,69449,72575,90822,90822,67944,67396,46750
446,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,CIV,150974,150974,150974,150974,150974,150974,150974,150974,150974,150974,150974,150974,150974,150974,150974,150974,,,46750
447,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,CSD,53310,53310,129672,140363,148906,149843,106257,106257,97102,97102,70735,70735,70892,70892,121167,121167,68645,68068,46750
448,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,CSE,28156,28156,86667,86667,133620,134575,57785,57785,54246,54246,63498,68908,41776,45331,74205,74205,36116,33772,46750
449,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,CSER,87129,87129,151699,151699,150193,150193,139164,139164,109836,131631,87129,87129,107895,107895,149434,149434,114772,102600,46750
450,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,CSM,108502,108502,118512,118512,132319,133429,108502,108502,108502,108502,108502,108502,108502,108502,112087,112087,58899,61057,46750
451,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,ECE,56487,56487,129993,137057,139818,139818,102897,128996,98474,98474,120636,120636,72878,72878,106565,106565,73232,74809,46750
452,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,EEE,139720,139720,150545,150545,139720,139720,139720,139720,148839,148839,139720,139720,139720,139720,139720,139720,134491,134162,46750
453,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,INF,52103,52103,126447,126447,136707,136707,122346,122346,95872,95872,52103,52103,69945,75354,79302,102292,66244,56752,46750
454,NRIA,NRI INSTITUTE OF TECHNOLOGY,KRI,AGIRIPALLY,MEC,136156,144871,136156,144871,136156,144871,136156,144871,136156,144871,136156,144871,136156,144871,136156,144871,126638,,46750
455,NRIP,N R I COLLEGE OF PHARMACY,KRI,AGIRIPALLY,PHM,127071,127071,127071,127071,127071,127071,127071,127071,127071,127071,127071,127071,127071,127071,127071,127071,,,48300
456,PPDV,"PALADUGU PARVATHI DEVI COLLEGE
OF ENGG AND TECH",KRI,VIJAYAWADA,CSD,149078,149078,149078,149078,149078,149078,149078,149078,149078,149078,149078,149078,149078,149078,149078,149078,,,43000
457,PPDV,"PALADUGU PARVATHI DEVI COLLEGE
OF ENGG AND TECH",KRI,VIJAYAWADA,CSE,133849,133849,133849,133849,133849,133849,146833,146833,133849,133849,133849,133849,142349,142349,133849,133849,,,43000
458,PPDV,"PALADUGU PARVATHI DEVI COLLEGE
OF ENGG AND TECH",KRI,VIJAYAWADA,ECE,126533,126533,126533,126533,126533,126533,126533,126533,126533,126533,126533,126533,126533,126533,126533,126533,,,43000
459,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,CIV,96169,115125,139589,141868,139288,148459,147164,147164,148912,148912,96169,135729,133229,133229,136887,143206,146305,120868,77000
460,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,CSD,11995,12793,53119,53119,113880,131938,17382,20381,20875,22095,11995,12793,17316,86373,23030,27279,13229,14853,77000
461,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,CSE,15207,15207,41089,43155,86799,93524,17214,18653,18565,24442,38532,38532,15207,15207,18684,18684,18516,11567,77000
462,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,CSM,11261,11261,44567,45359,127958,127958,21478,21478,17546,17546,57824,57824,14881,14881,20135,26481,12349,14001,77000
463,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,ECE,21064,21064,79610,79610,131533,147850,74278,74278,33328,33328,21064,50382,26457,27460,38337,40579,22525,21919,77000
464,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,EEE,59788,69417,111291,139601,123575,149283,143350,143350,94423,94423,59788,69417,66644,83427,134467,134467,72976,78274,77000
465,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,INF,17383,17383,63848,63848,135185,138189,26431,40382,24861,26111,85285,85285,21983,21983,28805,28805,19037,19049,77000
466,PPSV,"PRASAD V POTLURI SIDDHARTHA
INSTT OF TECHNOLOGY",KRI,VIJAYAWADA,MEC,78381,127551,139851,147883,140084,140084,150053,150053,150284,150284,78381,127551,107980,127551,146379,146379,127176,128570,77000
467,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,CAI,69519,69519,127754,127754,140078,140276,89596,96349,106475,117662,69519,69519,82156,92095,93915,110995,75645,76205,45650
468,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,CIC,120105,120105,136973,150280,139275,139275,120105,133047,137890,145292,120105,120105,120105,120105,120105,129362,84186,89854,45650
469,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,CSD,60991,60991,137891,137891,140220,145484,95324,105546,107703,108655,60991,60991,86244,102803,60991,60991,64414,75422,45650
470,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,CSE,51317,91399,118582,118582,145152,145152,91545,91545,120780,120780,112312,112312,71546,91399,83151,91399,81255,74159,45650
471,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,CSM,50023,50023,136150,139424,134999,134999,79265,79265,99996,99996,91862,91862,67699,67699,54987,112426,70269,62177,45650
472,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,CSO,93402,98704,150954,150954,97516,98704,131174,133146,130672,148560,93402,98704,108450,115193,122856,122856,90992,90135,45650
473,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,ECE,147001,147001,149490,151716,147001,147001,148992,148992,147001,147001,147001,147001,147001,147001,147001,147001,105643,109476,45650
474,PSCV,"POTTI SRIRAMULU COLLEGE OF ENGG
AND TECHNOLOGY",KRI,VIJAYAWADA,EEE,130556,130556,150716,150716,136683,136683,141624,141624,142944,142944,130556,130556,147815,147815,130556,140581,,,45650
475,RKCE,R.K.COLLEGE OF ENGINEERING,KRI,IBRAHIMPATNAM,AIM,88724,88724,135195,144123,136627,136627,142758,142758,140988,140988,88724,137131,125736,125736,123256,145708,122228,142993,43000
476,RKCE,R.K.COLLEGE OF ENGINEERING,KRI,IBRAHIMPATNAM,CIV,151422,151422,151422,151422,151422,151422,151422,151422,151422,151422,151422,151422,151422,151422,151422,151422,,,43000
477,RKCE,R.K.COLLEGE OF ENGINEERING,KRI,IBRAHIMPATNAM,CSD,122979,127192,150201,150201,145978,145978,137274,137274,138704,141950,122979,146271,150141,150141,122979,144591,126044,134948,43000
478,RKCE,R.K.COLLEGE OF ENGINEERING,KRI,IBRAHIMPATNAM,CSE,149888,149888,149950,150966,149888,149888,149888,149888,151061,151061,149888,149888,149888,149888,149888,149888,121430,113562,43000
479,RKCE,R.K.COLLEGE OF ENGINEERING,KRI,IBRAHIMPATNAM,ECE,114471,114471,149808,150416,139101,145841,150440,150440,144931,149498,141069,141069,149289,149289,145126,147280,137702,147866,43000
480,RKCE,R.K.COLLEGE OF ENGINEERING,KRI,IBRAHIMPATNAM,EEE,151745,151745,151745,151745,151766,151767,151745,151745,151775,151775,,,151745,151745,151745,151745,,,43000
481,RKCE,R.K.COLLEGE OF ENGINEERING,KRI,IBRAHIMPATNAM,MEC,109370,109370,109370,109370,109370,109370,109370,109370,109370,109370,109370,109370,134873,134873,109370,109370,,,43000
482,SIEN,"SRI SARATHI INSTITUTE OF ENGG.
AND TECHNOLOGY",KRI,NUZVID,AID,107828,117723,139563,139563,107828,117723,107828,117723,107828,144955,107828,117723,107828,117723,107828,117723,147620,,43000
483,SIEN,"SRI SARATHI INSTITUTE OF ENGG.
AND TECHNOLOGY",KRI,NUZVID,CSE,124450,124450,150383,151573,150206,150206,131324,140778,148013,148013,124450,124450,137886,143493,124450,124450,146179,,43000
484,SIEN,"SRI SARATHI INSTITUTE OF ENGG.
AND TECHNOLOGY",KRI,NUZVID,ECE,141102,141102,141102,141102,141102,141102,141102,141102,141102,141102,141102,141102,141102,141102,141102,141102,,,43000
485,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,CIV,148194,148194,148194,149369,148194,148194,148194,148194,148194,148194,148194,148194,148194,148194,148194,148194,145243,,43000
486,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,CSD,61642,61642,128182,128182,101835,133968,109314,113173,112905,117937,61642,61642,84909,84909,103671,103671,69890,79260,43000
487,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,CSE,39287,39287,119799,119799,112749,139039,61482,61482,90532,90532,93018,93018,57407,60707,61929,61929,45395,50121,43000
488,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,CSM,63217,63217,135748,135748,137437,147486,88029,124149,109132,114197,78343,78343,81228,81313,91956,91956,73280,79913,43000
489,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,ECE,87122,87122,136387,139866,137265,137931,110561,110561,125598,135152,87122,87122,87122,92870,129308,141088,86162,88742,43000
490,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,EEE,114708,114708,149311,149311,114708,114708,148505,148505,114708,114708,114708,114708,146758,146758,114708,114708,141111,,43000
491,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,EVT,119041,119041,146511,146511,119041,148374,142802,142802,142911,142911,119041,119041,132076,132076,142779,142779,146728,126609,43000
492,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,INF,56576,56576,128708,128708,127090,127090,112127,133093,115185,115185,56576,56576,80837,85495,101591,101591,80386,77820,43000
493,SRKI,S R K INST. OF TECHNOLOGY,KRI,VIJAYAWADA,MEC,151736,151736,151736,151736,151736,151736,151736,151736,151736,151736,151736,151736,151736,151736,151736,151736,,,43000
494,SUNL,"SRI SUNFLOWER COLLEGE OF ENGG
AND TECHNOLOGY",KRI,LANKAPALLI,CSE,140523,140523,140523,140523,140523,140523,140523,140523,140523,140523,140523,140523,140523,140523,140523,140523,,,43000
495,SVET,"SRI VASAVI INSTT OF ENGINEERING
AND TECHNOLOGY",KRI,PEDANA,CIV,147350,147350,147350,147350,147350,147350,147350,147350,147350,147350,147350,147350,147350,147350,147350,147350,,,43000
496,SVET,"SRI VASAVI INSTT OF ENGINEERING
AND TECHNOLOGY",KRI,PEDANA,CSE,119417,119417,150896,150896,139434,151301,133071,133071,119417,119417,138097,138097,122126,129038,119417,134396,125223,87407,43000
497,SVET,"SRI VASAVI INSTT OF ENGINEERING
AND TECHNOLOGY",KRI,PEDANA,CSM,68893,90185,90659,92834,78534,90185,147589,147589,111476,127309,86345,135191,134781,134781,127701,127844,92030,77211,43000
498,SVET,"SRI VASAVI INSTT OF ENGINEERING
AND TECHNOLOGY",KRI,PEDANA,ECE,101294,101294,132718,132718,107243,114724,139238,149205,132177,132177,101294,150750,133073,133073,137486,137486,121331,115236,43000
499,SVET,"SRI VASAVI INSTT OF ENGINEERING
AND TECHNOLOGY",KRI,PEDANA,MEC,142287,142287,142287,142287,142287,142287,142287,142287,142287,142287,142287,142287,142287,142287,142287,142287,,,43000
500,SVHE,"D M S S V H COLLEGE OF
ENGINEERING",KRI,MACHILIPATNAM,CSE,135436,135436,149056,149056,135436,135436,135436,135436,135436,135436,135436,135436,135436,135436,135436,148062,,,43000
501,URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",KRI,TELAPROLU,AID,63476,63476,123002,126831,138508,138508,111342,111342,117906,118936,63476,63476,81576,82363,120888,120888,70746,83950,43000
502,URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",KRI,TELAPROLU,AIM,98120,98120,129593,129593,132420,133744,123521,146264,117710,123677,98120,98120,98120,98120,107840,144737,74379,89290,43000
503,URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",KRI,TELAPROLU,CSE,54133,54133,117163,127155,121656,133906,84252,94525,102819,115731,54133,81678,72599,75913,107812,107812,63201,64693,43000
504,URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",KRI,TELAPROLU,ECE,84028,84743,151748,151748,149436,149436,150953,150953,133238,135844,84028,95437,97881,135568,136664,148955,98881,101171,43000
505,URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",KRI,TELAPROLU,EEE,130630,130630,151578,151578,130630,149238,147794,150558,149289,149289,130630,130630,142508,145821,147353,147353,143121,124000,43000
506,URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",KRI,TELAPROLU,INF,74939,127050,143524,143524,135429,135429,120347,127050,104720,127050,74939,127050,87769,127050,111856,143649,81262,84197,43000
507,URCE,"USHA RAMA COLL OF ENGG AND
TECHNOLOGY",KRI,TELAPROLU,MEC,144617,144617,144617,150576,144617,144617,144617,144617,144617,144617,144617,144617,144617,144617,144617,144617,,,43000
508,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,AGR,123498,128897,123498,128897,123498,128897,123498,128897,123498,128897,123498,128897,123498,128897,123498,128897,,,43000
509,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,CIV,151745,151745,151745,151745,151766,151766,151745,151745,151775,151775,,151745,151745,151745,151745,151745,,,43000
510,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,CSD,127187,127187,127187,144465,127187,127187,147415,147415,148617,148617,127187,127187,143144,143144,127187,149457,,,43000
511,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,CSE,145268,145268,151279,151279,148760,148760,147676,147676,150778,150778,145268,145268,145268,145268,145268,150402,132436,127208,43000
512,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,CSM,86792,86792,148423,148423,137683,137683,143251,143251,146626,146626,86792,86792,145588,147882,119408,128621,145478,,43000
513,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,ECE,121405,121405,151250,151250,129851,143378,143568,143568,121405,121405,121405,121405,130804,130804,121405,121405,,,43000
514,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,EEE,76716,76716,136124,136124,76716,76716,76716,76716,76716,76716,76716,76716,76716,76716,76716,76716,,,43000
515,VCTN,"VIKAS COLLEGE OF ENGINEERING
AND TECHNOLOGY",KRI,VIJAYAWADA,MEC,126079,126079,126079,126079,126079,126079,126079,126079,126079,126079,126079,126079,126079,126079,126079,126079,,,43000
516,VGTN,VIKAS GROUP OF INSTITUTIONS,KRI,"VIJAYAWADA
RURAL",CSD,118484,118484,118484,118484,118484,118484,118484,118484,118484,118484,118484,118484,118484,118484,118484,118484,,,43000
517,VGTN,VIKAS GROUP OF INSTITUTIONS,KRI,"VIJAYAWADA
RURAL",CSE,132244,132244,151374,151374,138676,138720,141501,141501,142964,142964,132244,132244,149210,149210,132244,149502,147886,149279,43000
518,VGTN,VIKAS GROUP OF INSTITUTIONS,KRI,"VIJAYAWADA
RURAL",CSM,143771,143771,143771,143771,143771,143771,143771,143771,143771,143771,143771,143771,143771,143771,143771,143771,,,43000
519,VGTN,VIKAS GROUP OF INSTITUTIONS,KRI,"VIJAYAWADA
RURAL",ECE,135579,135579,145866,145866,135579,135579,135579,135579,142971,142971,135579,135579,135579,135579,135579,135579,,,43000
520,VGTN,VIKAS GROUP OF INSTITUTIONS,KRI,"VIJAYAWADA
RURAL",EEE,119816,119816,119816,119816,119816,119816,119816,119816,119816,119816,119816,119816,119816,119816,119816,119816,,,43000
521,VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",KRI,TIRUVURU,AIM,94416,94416,138028,150486,137700,137741,123756,123756,130046,150992,94416,94416,146869,146869,148256,148256,127814,110479,43000
522,VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",KRI,TIRUVURU,CIV,139675,139675,139675,139675,139675,139675,139675,139675,139675,139675,139675,139675,139675,139675,139675,139675,,,43000
523,VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",KRI,TIRUVURU,CSD,134715,134715,140126,140126,138855,138855,148354,151092,142027,142027,134715,134715,137524,137524,142780,148240,121068,119790,43000
524,VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",KRI,TIRUVURU,CSE,85855,85855,115843,127507,137290,137290,120717,120717,114414,114414,99787,99787,124133,124133,125155,125155,111004,117506,43000
525,VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",KRI,TIRUVURU,ECE,151600,151600,151600,151600,151600,151600,151600,151600,151600,151600,151600,151600,151600,151600,151600,151600,150029,124577,43000
526,VHNI,"SREE VAHINI INSTT OF SCIENCE AND
TECHNOLOGY",KRI,TIRUVURU,EEE,128138,151403,128138,151403,138209,151403,128138,151403,128138,151403,128138,151403,128138,151403,128138,151403,,,43000
527,VIPW,"VIJAYA INST OF PHARM SCI FOR
WOMEN",KRI,VIJAYAWADA,PHM,,139077,,139077,,139077,,139077,,139077,,,,139077,,139077,,,44300
528,VITW,"VIJAYA INST. OF TECHNOLOGY FOR
WOMEN",KRI,VIJAYAWADA,AIM,,142211,,144809,,142211,,142211,,150877,,142211,,142211,,142211,,133751,43000
529,VITW,"VIJAYA INST. OF TECHNOLOGY FOR
WOMEN",KRI,VIJAYAWADA,CSD,,129708,,146750,,137459,,144115,,143192,,,,142827,,129708,,122895,43000
530,VITW,"VIJAYA INST. OF TECHNOLOGY FOR
WOMEN",KRI,VIJAYAWADA,CSE,,110548,,138616,,151153,,110548,,151710,,110548,,120697,,110548,,98851,43000
531,VITW,"VIJAYA INST. OF TECHNOLOGY FOR
WOMEN",KRI,VIJAYAWADA,ECE,,122857,,148396,,122857,,140916,,142606,,,,148366,,122857,,141521,43000
532,VITW,"VIJAYA INST. OF TECHNOLOGY FOR
WOMEN",KRI,VIJAYAWADA,INF,,150265,,150265,,150265,,150265,,150265,,,,150551,,150265,,148171,43000
533,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,AID,8214,8214,37514,37514,88611,100784,11879,16154,13034,13902,17778,17778,9646,10122,13355,13355,9128,7397,72820
534,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,CIV,146909,146909,146909,146909,146909,146909,146909,146909,146909,146909,146909,146909,146909,146909,146909,146909,143804,142025,72820
535,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,CSE,6307,6307,18636,18636,40466,40466,7585,9472,8360,8360,15899,16592,7042,7042,11786,11786,6663,5067,72820
536,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,CSM,10991,10991,19013,19699,45351,45351,10991,10991,10991,10991,10991,10991,10991,10991,10991,10991,7441,5311,72820
537,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,ECE,12368,140532,47336,140532,91322,140532,18896,140532,24734,140532,20989,140532,14359,140532,24292,140532,16126,15498,72820
538,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,EEE,36696,36696,105277,105277,128424,132143,74602,78754,60279,69102,57975,57975,50108,50108,106074,111103,52834,54690,72820
539,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,EIE,70724,70724,138742,146075,137884,139492,116793,116793,102408,102408,70724,70724,83497,111362,84499,84499,91780,88848,72820
540,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,INF,9789,26538,101099,101099,97595,103066,17060,26538,16535,26538,9789,51140,13392,42196,17535,26538,21488,11231,72820
541,VRSE,"V R SIDDHARTHA ENGINEERING
COLLEGE",KRI,VIJAYAWADA,MEC,65123,121270,111405,145676,138592,138592,121394,121394,130281,130281,65123,121270,84668,150402,65123,121270,141035,98484,72820
542,VRSP,"K V S R SIDDHARTHA COLLEGE OF
PHARMACEUTICAL SCI.S",KRI,VIJAYAWADA,PHD,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,67000,,,65000
543,VRSP,"K V S R SIDDHARTHA COLLEGE OF
PHARMACEUTICAL SCI.S",KRI,VIJAYAWADA,PHM,151745,151745,151758,151758,151766,151766,151745,151745,151775,151775,,151745,151745,151745,151745,151745,,,80000
544,VVGV,"VKR VNB AND AGK ENGINEERING
COLLEGE",KRI,GUDIVADA,AID,151597,151597,151597,151597,151597,151597,151597,151597,151597,151597,151597,151597,151597,151597,151597,151597,116710,,43000
545,VVGV,"VKR VNB AND AGK ENGINEERING
COLLEGE",KRI,GUDIVADA,CSE,118144,146017,147000,147000,127971,146017,144635,146017,150348,150348,118144,146017,144300,146017,118144,146017,125830,150194,43000
546,VVGV,"VKR VNB AND AGK ENGINEERING
COLLEGE",KRI,GUDIVADA,CSM,83118,83118,83118,83118,83118,83118,83118,83118,83118,83118,83118,83118,83118,83118,83118,83118,,,43000
547,VVGV,"VKR VNB AND AGK ENGINEERING
COLLEGE",KRI,GUDIVADA,ECE,131907,131907,131907,131907,131907,131907,131907,131907,136326,136326,131907,131907,131907,131907,131907,131907,,,43000
548,VVGV,"VKR VNB AND AGK ENGINEERING
COLLEGE",KRI,GUDIVADA,MEC,123117,123117,123117,123117,123117,123117,123117,123117,123117,123117,123117,123117,123117,123117,123117,123117,,,43000
549,ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PKS,KANIGIRI,CAI,151483,151483,151483,151483,151483,151483,151483,151483,151483,151483,151483,151483,151483,151483,151483,151483,,,43000
550,ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PKS,KANIGIRI,CIV,145579,145579,145579,145579,145579,145579,145579,145579,145579,145579,145579,145579,145579,145579,145579,145579,,,43000
551,ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PKS,KANIGIRI,CSD,149080,149080,149080,149080,149080,149080,149080,149080,149080,149080,149080,149080,149080,149080,149080,149080,,,43000
552,ABRK,"ABR COLLEGE OF ENGG AND
TECHNOLOGY",PKS,KANIGIRI,CSE,143296,143296,143296,146576,143296,143296,143296,143296,143296,143296,143296,143296,143296,143296,143296,143296,,,43000
